ID	汉字	拼音
10822	蔦	niao3
10823	嬝	niao3
10824	褭	niao3
10825	嬲	niao3
10826	尿	niao4
10827	脲	niao4
10828	捏	nie1
10829	揑	nie1
10830	帇	nie4
10831	圼	nie4
10832	苶	nie2
10833	枿	nie4
10834	陧	nie4
10835	涅	nie4
10836	聂	nie4
10837	臬	nie4
10838	啮	nie4
10839	惗	nie4
10840	菍	nie4
10841	隉	nie4
10842	喦	yan2
10843	敜	dian4
10844	嗫	nie4
10845	嵲	nie4
10846	鉩	xi3
10847	踂	nie4
10848	噛	yao3
10849	摰	che4
10850	槷	nie4
10851	踗	nie4
10852	踙	nie4
10853	镊	nie4
10854	镍	nie4
10855	嶭	nie4
10856	篞	nie4
10857	臲	nie4
10858	錜	nie4
10859	颞	nie4
10860	蹑	nie4
10861	嚙	nie4
10862	聶	nie4
10863	鎳	nie4
10864	闑	nie4
10865	孼	nie4
10866	孽	nie4
10867	櫱	nie4
10868	籋	mi2
10869	蘖	nie4
10870	囁	nie4
10871	齧	nie4
10872	巕	nie4
10873	糱	nie4
10874	糵	nie4
10875	蠥	nie4
10876	囓	nie4
10877	讘	zhe2
10878	躡	nie4
10879	鑷	nie4
10880	顳	nie4
10881	钀	nie4
10882	脌	nin1
10883	囜	nin2
10884	您	nin2
10885	拰	nin3
10886	宁	ning2
10887	宁	ning4
10888	咛	ning2
10889	狞	ning2
10890	柠	ning2
10891	聍	ning2
10892	寕	ning2
10893	儜	ning2
10894	凝	ning2
10895	嚀	ning2
10896	嬣	ning2
10897	獰	ning2
10898	檸	ning2
10899	聹	ning2
10900	鑏	ning2
10901	鬡	ning2
10902	鸋	ning2
10903	橣	ning3
10904	矃	ning2
10905	佞	ning4
10906	侫	ning4
10907	泞	ning4
10908	寗	ning4
10909	澝	ning4
10910	濘	ning4
10911	妞	niu1
10912	牛	niu2
10913	汼	you2
10914	忸	niu3
10915	扭	niu3
10916	沑	niu3
10917	狃	niu3
10918	纽	niu3
10919	炄	niu3
10920	钮	niu3
10921	紐	niu3
10922	莥	niu3
10923	鈕	niu3
10924	靵	niu3
10925	农	nong2
10926	侬	nong2
10927	浓	nong2
10928	脓	nong2
10929	秾	nong2
10930	農	nong2
10931	儂	nong2
10932	辳	nong2
10933	憹	nao2
10934	濃	nong2
10935	蕽	nong2
10936	禯	nong2
10937	膿	nong2
10938	穠	nong2
10939	襛	nong2
10940	醲	nong2
10941	欁	nong2
10942	繷	nong3
10943	弄	nong4
10944	挊	nong4
10945	挵	nong4
10946	癑	nong2
10947	齈	nong4
10948	羺	nou2
10949	譨	nou2
10950	啂	nou3
10951	槈	nou4
10952	耨	nou4
10953	獳	nou4
10954	檽	nou4
10955	鎒	nou4
10956	鐞	nou4
10957	譳	nou4
10958	奴	nu2
10959	伖	nu2
10960	孥	nu2
10961	驽	nu2
10962	笯	nu2
10963	駑	nu2
10964	伮	nu2
10965	努	nu3
10966	弩	nu3
10967	砮	nu2
10968	胬	nu3
10969	怒	nu4
10970	傉	jue2
10971	搙	nu4
10972	女	nv3
10973	钕	nv3
10974	籹	nv3
10975	釹	nv3
10976	衂	nv4
10977	恧	nv4
10978	朒	nv4
10979	衄	nv4
10980	疟	nue4
10981	虐	nue4
10982	瘧	nue4
10983	奻	nuan2
10984	渜	nuan2
10985	暖	nuan3
10986	煗	nuan3
10987	餪	nuan3
10988	硸	nue4
10989	郍	na3
10990	挪	nue2
10991	梛	nuo2
10992	傩	nuo2
10993	搻	nuo4
10994	儺	nuo2
10995	橠	nuo2
10996	诺	nuo4
10997	喏	re3
10998	喏	nuo4
10999	掿	nuo4
11000	逽	nuo4
11001	搦	nuo4
11002	锘	nuo4
11003	榒	nuo4
11004	稬	nuo4
11005	諾	nuo4
11006	蹃	ruo4
11007	糑	nuo4
11008	鍩	nuo4
11009	懦	nuo4
11010	懧	nuo4
11011	糥	nuo4
11012	穤	nuo4
11013	糯	nuo4
11014	噢	o1
11015	哦	e2
11016	哦	o2
11017	哦	o4
11018	讴	ou1
11019	欧	ou1
11020	殴	ou1
11021	瓯	ou1
11022	鸥	ou1
11023	塸	ou1
11024	歐	ou1
11025	毆	ou1
11026	熰	ou1
11027	甌	ou1
11028	膒	ou1
11029	鴎	ou1
11030	櫙	ou1
11031	藲	ou1
11032	謳	ou1
11033	鏂	ou1
11034	鷗	ou1
11035	齵	qu3
11036	吘	ou3
11037	呕	ou3
11038	偶	ou3
11039	腢	ou3
11040	嘔	ou3
11041	耦	ou3
11042	蕅	ou3
11043	藕	ou3
11044	怄	ou4
11045	沤	ou4
11046	沤	ou1
11047	慪	ou4
11048	漚	ou1
11049	漚	ou4
11050	妑	pa1
11051	皅	pa1
11052	趴	pa1
11053	舥	pa1
11054	啪	pa1
11055	葩	pa1
11056	杷	pa2
11057	爬	pa2
11058	耙	ba4
11059	耙	pa2
11060	掱	pa2
11061	琶	pa2
11062	筢	pa2
11063	潖	pa2
11064	帊	pa4
11065	帕	pa4
11066	怕	pa4
11067	袙	pa4
11068	拍	pai1
11069	俳	pai2
11070	徘	pai2
11071	排	pai2
11072	猅	pai2
11073	棑	pai2
11074	牌	pai2
11075	箄	bi4
11076	輫	pai2
11077	簰	pai2
11078	犤	pi2
11079	哌	pai4
11080	派	pai4
11081	湃	pai4
11082	蒎	pai4
11083	鎃	pai4
11084	眅	pan1
11085	畨	fan1
11086	潘	pan1
11087	攀	pan1
11088	爿	pan2
11089	柈	ban4
11090	盘	pan2
11091	跘	pan2
11092	媻	pan2
11093	幋	pan2
11094	蒰	pan2
11095	搫	pan2
11096	槃	pan2
11097	盤	pan2
11098	磐	pan2
11099	縏	pan2
11100	蹒	pan2
11101	瀊	pan2
11102	蟠	pan2
11103	蹣	pan2
11104	鎜	pan2
11105	鞶	pan2
11106	坢	pan4
11107	冸	pan4
11108	判	pan4
11109	沜	pan4
11110	泮	pan4
11111	炍	pan4
11112	叛	pan4
11113	牉	pan4
11114	盼	pan4
11115	畔	pan4
11116	袢	pan4
11117	詊	pan4
11118	溿	pan4
11119	頖	pan4
11120	鋬	pan4
11121	鵥	pan4
11122	襻	pan4
11123	鑻	pan4
11124	乓	pang1
11125	汸	pang1
11126	沗	pang1
11127	肨	pang4
11128	雱	pang1
11129	滂	pang1
11130	滂	pang2
11131	膖	pang1
11132	霶	pang1
11133	厐	pang2
11134	庞	pang2
11135	逄	pang2
11136	旁	pang2
11137	舽	pang2
11138	嫎	pang2
11139	篣	pang2
11140	螃	pang2
11141	鳑	pang2
11142	龎	pang2
11143	龐	pang2
11144	鰟	pang2
11145	蠭	pang2
11146	嗙	pang3
11147	耪	pang3
11148	覫	pang3
11149	炐	pang4
11150	胖	pang4
11151	胖	pan2
11152	抛	pao1
11153	拋	pao1
11154	脬	pao1
11155	刨	pao2
11156	咆	pao2
11157	垉	bao1
11158	庖	pao2
11159	狍	pao2
11160	炮	pao4
11161	炮	pao2
11162	炮	bao1
11163	炰	pao2
11164	爮	pao2
11165	袍	pao2
11166	匏	pao2
11167	蚫	piao2
11168	軳	pao2
11169	鞄	bao4
11170	褜	pao2
11171	麅	pao2
11172	跑	pao3
11173	奅	pao4
11174	泡	pao4
11175	疱	pao4
11176	皰	pao4
11177	萢	pao4
11178	麭	pao4
11179	礟	pao4
11180	礮	pao4
11181	呸	pei1
11182	怌	pei1
11183	肧	pei1
11184	柸	pi1
11185	胚	pei1
11186	衃	pei1
11187	醅	pei1
11188	阫	pei2
11189	陪	pei2
11190	陫	pei2
11191	培	pei2
11192	毰	pei2
11193	赔	pei2
11194	锫	pei2
11195	裴	pei2
11196	裵	pei2
11197	賠	pei2
11198	錇	pei2
11199	俖	pei3
11200	伂	pei4
11201	沛	pei4
11202	佩	pei4
11203	帔	pei4
11204	姵	pei4
11205	斾	pei4
11206	旆	pei4
11207	浿	pai4
11208	珮	pei4
11209	配	pei4
11210	笩	fa2
11211	蓜	pei4
11212	辔	pei4
11213	馷	pei4
11214	嶏	pei4
11215	霈	pei4
11216	轡	pei4
11217	喷	pen1
11218	噴	pen1
11219	濆	fen2
11220	歕	pen1
11221	瓫	pen2
11222	盆	pen2
11223	湓	pen2
11224	呠	pen3
11225	翉	pen3
11226	翸	pen3
11227	喯	pen1
11228	匉	peng1
11229	怦	peng1
11230	抨	peng1
11231	泙	ping2
11232	恲	peng1
11233	胓	peng1
11234	砰	peng1
11235	梈	peng1
11236	烹	peng1
11237	硑	peng1
11238	軯	peng1
11239	閛	peng1
11240	漰	peng1
11241	嘭	peng1
11242	駍	pei2
11243	磞	peng1
11244	芃	peng2
11245	朋	peng2
11246	挷	bang1
11247	竼	peng2
11248	倗	peng2
11249	莑	peng2
11250	堋	peng2
11251	弸	peng2
11252	彭	peng2
11253	棚	peng2
11254	椖	peng2
11255	傰	peng2
11256	塜	peng2
11257	塳	peng2
11258	搒	bang4
11259	漨	feng2
11260	硼	peng2
11261	稝	peng2
11262	蓬	peng2
11263	鹏	peng2
11264	槰	peng4
11265	樥	peng2
11266	熢	peng2
11267	憉	peng2
11268	輣	peng2
11269	篷	peng2
11270	膨	peng2
11271	錋	beng4
11272	韸	peng2
11273	髼	peng2
11274	蟚	peng2
11275	蟛	peng2
11276	鬅	peng2
11277	纄	peng2
11278	韼	peng2
11279	鵬	peng2
11280	騯	bang3
11281	鬔	peng2
11282	鑝	peng2
11283	捧	peng3
11284	淎	peng3
11285	皏	peng3
11286	剻	fu2
11287	掽	peng4
11288	椪	peng4
11289	碰	peng4
11290	踫	pan2
11291	丕	pi1
11292	伓	pi1
11293	伾	pi1
11294	批	pi1
11295	纰	pi1
11296	邳	pi1
11297	坯	pi1
11298	怶	pi1
11299	披	pi1
11300	抷	pei1
11301	炋	pi1
11302	狉	pi1
11303	狓	pi1
11304	砒	pi1
11305	悂	pi1
11306	秛	pi1
11307	秠	pi1
11308	紕	pi1
11309	铍	pi2
11310	旇	pi1
11311	翍	pi1
11312	耚	pi1
11313	豾	pi1
11314	釽	pi1
11315	鈚	pi1
11316	鈹	pi2
11317	鉟	pi1
11318	銔	pi1
11319	劈	pi1
11320	劈	pi3
11321	磇	pi1
11322	駓	pi1
11323	髬	pi1
11324	噼	pi1
11325	錃	bei1
11326	錍	bi4
11327	魾	pi1
11328	憵	pi1
11329	礔	pi1
11330	礕	pi1
11331	闢	bi4
11332	闢	pi4
11333	霹	pi1
11334	皮	pi2
11335	阰	pi2
11336	芘	pi2
11337	芘	bi4
11338	岯	pi2
11339	枇	pi2
11340	毞	pi2
11341	肶	pi2
11342	毗	pi2
11343	毘	pi2
11344	疲	pi2
11345	笓	pi2
11346	蚍	pi2
11347	郫	pi2
11348	陴	pi2
11349	啤	pi2
11350	埤	pi2
11351	崥	pi2
11352	蚽	pi2
11353	豼	pi2
11354	椑	bei1
11355	焷	pi2
11356	琵	pi2
11357	脾	pi2
11358	腗	pi2
11359	鲏	pi2
11360	罴	pi2
11361	膍	pi2
11362	蜱	pi2
11363	隦	pi2
11364	魮	pi2
11365	壀	pi2
11366	鮍	pi2
11367	篺	pi2
11368	螷	pi2
11369	貔	pi2
11370	簲	pi2
11371	羆	pi2
11372	鵧	pi2
11373	朇	pi2
11374	鼙	pi2
11375	蠯	pi2
11376	匹	pi3
11377	匹	pi1
11378	庀	pi3
11379	仳	pi3
11380	圮	pi3
11381	苉	pi3
11382	脴	pi3
11383	痞	pi3
11384	銢	pi3
11385	鴄	pi3
11386	擗	pi3
11387	噽	pi3
11388	癖	pi3
11389	嚭	pi3
11390	屁	pi4
11391	淠	pi4
11392	渒	pi4
11393	揊	pi4
11394	媲	pi4
11395	嫓	pi4
11396	睤	pi4
11397	睥	bi4
11398	潎	pi4
11399	僻	pi4
11400	澼	pi4
11401	嚊	pi4
11402	甓	pi4
11403	疈	pi4
11404	譬	pi4
11405	鷿	pi4
11406	鸊	pi4
11407	片	pian4
11408	囨	pian1
11409	偏	pian1
11410	媥	pian1
11411	犏	pian1
11412	篇	pian1
11413	翩	pian1
11414	鶣	pian1
11415	骈	pian2
11416	胼	pian2
11417	腁	pian2
11418	楄	pian2
11419	楩	pian2
11420	賆	pian2
11421	諚	pian2
11422	骿	pian2
11423	蹁	pian2
11424	駢	pian2
11425	騈	pian2
11426	覑	pian3
11427	谝	pian3
11428	貵	pian3
11429	諞	pian3
11430	骗	pian4
11431	魸	pian4
11432	騗	pian4
11433	騙	pian4
11434	剽	piao1
11435	彯	piao1
11436	漂	piao1
11437	飘	piao1
11438	磦	biao1
11439	旚	piao1
11440	翲	piao1
11441	螵	piao1
11442	犥	piao1
11443	飃	piao1
11444	飄	piao1
11445	魒	piao1
11446	瓢	piao2
11447	薸	piao2
11448	闝	piao2
11449	殍	piao3
11450	瞟	piao3
11451	篻	biao1
11452	醥	piao3
11453	皫	piao3
11454	顠	piao1
11455	票	piao4
11456	僄	piao4
11457	勡	piao1
11458	嘌	piao4
11459	嫖	piao2
11460	徱	piao4
11461	慓	piao1
11462	氕	pie1
11463	撇	pie3
11464	撆	pie1
11465	暼	pie1
11466	瞥	pie1
11467	丿	pie3
11468	苤	pie3
11469	鐅	pie3
11470	嫳	pie1
11471	姘	pin1
11472	拼	pin1
11473	礗	pin1
11474	馪	pin1
11475	驞	pin1
11476	玭	pin2
11477	贫	pin2
11478	貧	pin2
11479	琕	pian4
11480	嫔	pin2
11481	频	pin2
11482	頻	pin2
11483	嬪	pin2
11484	薲	pin2
11485	嚬	pin2
11486	矉	pin2
11487	颦	pin2
11488	顰	pin2
11489	品	pin3
11490	榀	pin3
11491	朩	pin4
11492	牝	pin4
11493	汖	pai4
11494	娉	ping1
11495	聘	pin4
11496	乒	ping1
11497	甹	ping1
11498	俜	ping1
11499	涄	ping1
11500	砯	ping1
11501	艵	ping1
11502	竮	ping1
11503	頩	ping1
11504	平	ping2
11505	评	ping2
11506	凭	ping2
11507	呯	ping2
11508	坪	ping2
11509	岼	ping2
11510	苹	ping2
11511	郱	ping2
11512	屏	ping2
11513	屏	bing3
11514	帡	ping2
11515	枰	ping2
11516	洴	ping2
11517	玶	ping2
11518	荓	peng1
11519	娦	ping2
11520	瓶	ping2
11521	帲	ping2
11522	淜	peng2
11523	萍	ping2
11524	蚲	ping2
11525	塀	ping2
11526	幈	ping2
11527	焩	ping2
11528	甁	ping2
11529	缾	ping2
11530	聠	ping2
11531	蓱	ping2
11532	蛢	ping2
11533	評	ping2
11534	軿	peng1
11535	鲆	ping2
11536	凴	ping2
11537	慿	ping2
11538	箳	ping2
11539	輧	ping2
11540	憑	ping2
11541	鮃	ping2
11542	檘	bo4
11543	簈	ping2
11544	蘋	pin2
11545	钋	po1
11546	坡	po1
11547	岥	po1
11548	泼	po1
11549	娝	bi3
11550	釙	po1
11551	颇	po1
11552	溌	po1
11553	酦	po1
11554	潑	po1
11555	醱	po1
11556	鏺	po1
11557	婆	po2
11558	嘙	po2
11559	蔢	po2
11560	蔢	bo4
11561	鄱	po2
11562	皤	po2
11563	謈	po2
11564	櫇	po2
11565	叵	po3
11566	尀	po3
11567	钷	po3
11568	笸	po3
11569	鉕	po3
11570	駊	po3
11571	廹	po4
11572	岶	po4
11573	迫	po4
11574	敀	po4
11575	昢	po4
11576	洦	mo4
11577	珀	po4
11578	哱	po4
11579	烞	po4
11580	破	po4
11581	砶	po4
11582	粕	po4
11583	奤	po4
11584	蒪	po4
11585	頗	po1
11586	魄	po4
11587	剖	pou1
11588	颒	pou1
11589	抔	pou2
11590	抙	pou1
11591	捊	pou2
11592	裒	pou2
11593	箁	bu4
11594	咅	tou4
11595	哣	pou3
11596	婄	bu4
11597	堷	an3
11598	犃	bu4
11599	仆	pu1
11600	仆	pu2
11601	扑	pu1
11602	抪	pu1
11603	炇	pu2
11604	柨	bu4
11605	陠	pu1
11606	痡	pu1
11607	铺	pu1
11608	駇	pu1
11609	噗	pu1
11610	撲	pu1
11611	鋪	pu1
11612	鋪	pu4
11613	擈	pu1
11614	鯆	pu1
11615	圤	pu2
11616	匍	pu2
11617	莆	fu2
11618	菩	pu2
11619	菐	pu2
11620	葡	pu2
11621	蒱	pu2
11622	蒲	pu2
11623	僕	pu1
11624	僕	pu2
11625	酺	pu2
11626	墣	pu2
11627	璞	pu2
11628	璞	pu3
11629	濮	pu2
11630	瞨	pu2
11631	穙	pu2
11632	镤	pu2
11633	贌	pu2
11634	纀	pu2
11635	鏷	pu2
11636	朴	pu3
11637	圃	pu3
11638	埔	bu4
11639	埔	pu3
11640	浦	pu3
11641	烳	pu3
11642	普	pu3
11643	圑	tuan2
11644	溥	pu3
11645	暜	ti4
11646	谱	pu3
11647	潽	pu1
11648	樸	pu3
11649	氆	pu3
11650	諩	pu3
11651	檏	pu3
11652	镨	pu3
11653	譜	pu3
11654	蹼	pu3
11655	鐠	pu3
11656	舖	pu1
11657	舖	pu4
11658	舗	pu4
11659	瀑	bao4
11660	曝	bao4
11661	曝	pu4
11662	七	qi1
11663	㈦	qi1
11664	迉	qi1
11665	沏	qi1
11666	妻	qi1
11667	恓	qi1
11668	柒	qi1
11669	倛	qi1
11670	凄	qi1
11671	栖	qi1
11672	栖	xi1
11673	桤	qi1
11674	缼	qi1
11675	郪	qi1
11676	娸	qi1
11677	悽	qi1
11678	戚	qi1
11679	捿	qi1
11680	桼	qi1
11681	淒	qi1
11682	萋	qi1
11683	朞	qi1
11684	期	qi1
11685	棲	qi1
11686	棲	xi1
11687	欺	qi1
11688	紪	ci3
11689	褄	qi1
11690	僛	qi1
11691	嘁	qi1
11692	慽	qi1
11693	榿	qi1
11694	槭	qi4
11695	漆	qi1
11696	緀	qi1
11697	慼	qi4
11698	磎	qi1
11699	諆	qi1
11700	踦	yi3
11701	諿	qi1
11702	霋	qi1
11703	蹊	xi1
11704	魌	qi1
11705	鏚	qi1
11706	鶈	qi1
11707	亓	qi2
11708	祁	qi2
11709	齐	qi2
11710	圻	qi2
11711	岐	qi2
11712	岓	qi2
11713	忯	qi2
11714	芪	qi2
11715	亝	qi2
11716	其	qi2
11717	奇	qi2
11718	斉	qi2
11719	歧	qi2
11720	祇	zhi1
11721	祈	qi2
11722	肵	qi2
11723	疧	qi2
11724	竒	qi2
11725	剘	qi2
11726	斊	qi2
11727	旂	qi2
11728	耆	qi2
11729	脐	qi2
11730	蚑	qi2
11731	蚔	qi2
11732	蚚	qi2
11733	颀	qi2
11734	埼	qi2
11735	崎	qi2
11736	帺	qi2
11737	掑	qi2
11738	淇	qi2
11739	渏	qi2
11740	猉	qi2
11741	畦	qi2
11742	萁	qi2
11743	跂	qi4
11744	跂	qi2
11745	軝	di3
11746	釮	qi2
11747	骐	qi2
11748	骑	qi2
11749	骑	ji4
11750	嵜	qi2
11751	棊	qi2
11752	棋	qi2
11753	琦	qi2
11754	琪	qi2
11755	祺	qi2
11756	蛴	qi2
11757	愭	qi2
11758	碁	qi2
11759	碕	qi2
11760	褀	qi2
11761	锜	qi2
11762	頎	qi2
11763	鬾	ji4
11764	鬿	qi2
11765	旗	qi2
11766	粸	qi2
11767	綥	qi2
11768	綦	qi2
11769	綨	qi2
11770	緕	qi2
11771	蜝	qi2
11772	蜞	qi2
11773	齊	qi2
11774	璂	ji1
11775	禥	qi2
11776	蕲	qi2
11777	踑	ji1
11778	螧	qi2
11779	錡	qi2
11780	鲯	qi2
11781	懠	qi2
11782	濝	qi2
11783	藄	qi2
11784	檱	qi2
11785	櫀	qi2
11786	簱	qi2
11787	臍	qi2
11788	騎	qi2
11789	騏	qi2
11790	鳍	qi2
11791	蘄	qi2
11792	鯕	qi2
11793	鵸	qi2
11794	鶀	qi2
11795	麒	qi2
11796	籏	qi2
11797	纃	qi2
11798	艩	qi2
11799	蠐	qi2
11800	鬐	qi2
11801	騹	li2
11802	魕	qi2
11803	鰭	qi2
11804	玂	qi2
11805	麡	qi2
11806	乞	qi3
11807	邔	qi3
11808	企	qi3
11809	屺	qi3
11810	岂	qi3
11811	芑	qi3
11812	启	qi3
11813	呇	qi3
11814	杞	qi3
11815	玘	qi3
11816	盀	qi3
11817	唘	qi3
11818	豈	qi3
11819	起	qi3
11820	啓	qi3
11821	啔	qi3
11822	啟	qi3
11823	婍	qi3
11824	绮	qi3
11825	晵	qi3
11826	棨	qi3
11827	裿	yi3
11828	綮	qing4
11829	綺	qi3
11830	諬	qi3
11831	簯	qi3
11832	闙	qi3
11833	气	qi4
11834	讫	qi4
11835	気	qi4
11836	汔	qi4
11837	迄	qi4
11838	弃	qi4
11839	汽	qi4
11840	矵	diao1
11841	芞	qi4
11842	呮	qi4
11843	泣	qi4
11844	炁	qi4
11845	盵	qi4
11846	咠	qi1
11847	契	qi4
11848	砌	qi4
11849	荠	ji4
11850	栔	qi4
11851	栔	xie4
11852	氣	qi4
11853	訖	qi4
11854	唭	qi4
11855	欫	qi1
11856	夡	qi4
11857	愒	qi4
11858	棄	qi4
11859	湆	qi4
11860	湇	qi4
11861	葺	qi4
11862	碛	qi4
11863	摖	qi4
11864	暣	qi4
11865	甈	qi4
11866	碶	qi4
11867	噐	qi4
11868	憇	qi4
11869	器	qi4
11870	憩	qi4
11871	磜	qi4
11872	磧	qi4
11873	磩	qi1
11874	薺	qi0
11875	礘	e4
11876	罊	qi4
11877	蟿	ji4
11878	掐	qia1
11879	葜	qia1
11880	拤	qia3
11881	跒	qia4
11882	酠	qia3
11883	鞐	qia3
11884	圶	qia4
11885	冾	xie2
11886	帢	qia4
11887	恰	qia4
11888	洽	qia4
11889	殎	qia4
11890	硈	qia4
11891	愘	qia1
11892	髂	qia4
11893	千	qian1
11894	仟	qian1
11895	阡	qian1
11896	圱	qian1
11897	圲	qian1
11898	奷	qian1
11899	扦	qian1
11900	汘	qian1
11901	芊	qian1
11902	迁	qian1
11903	佥	qian1
11904	岍	qian1
11905	杄	qian1
11906	汧	qian1
11907	茾	qian1
11908	欦	qian1
11909	竏	qian1
11910	臤	qian1
11911	钎	qian1
11912	拪	qian1
11913	牵	qian1
11914	粁	qian1
11915	悭	qian1
11916	蚈	qian1
11917	谸	qian1
11918	铅	qian1
11919	婜	qian1
11920	孯	wan4
11921	牽	qian1
11922	釺	qian1
11923	掔	qian1
11924	谦	qian1
11925	鈆	qian1
11926	雃	jie4
11927	僉	qian1
11928	愆	qian1
11929	签	qian1
11930	鉛	qian1
11931	骞	qian1
11932	鹐	qian1
11933	慳	qian1
11934	搴	qian1
11935	摼	keng1
11936	撁	qian1
11937	箞	quan1
11938	諐	qian1
11939	遷	qian1
11940	褰	qian1
11941	謙	qian1
11942	顅	qian1
11943	檶	qian1
11944	攐	qian1
11945	攑	qian1
11946	櫏	qian1
11947	簽	qian1
11948	鏲	qian1
11949	鵮	qian1
11950	攓	qian1
11951	騫	qian1
11952	鐱	jian4
11953	鬜	qian1
11954	鬝	qian1
11955	籤	qian1
11956	韆	qian1
11957	仱	qian2
11958	岒	qian2
11959	忴	qian2
11960	扲	qian2
11961	拑	qian2
11962	乹	gan1
11963	前	qian2
11964	钤	qian2
11965	歬	qian2
11966	虔	qian2
11967	钱	qian2
11968	钳	qian2
11969	乾	qian2
11970	偂	jian1
11971	掮	qian2
11972	揵	jian4
11973	軡	qin2
11974	媊	qian2
11975	鈐	qian2
11976	鉆	zuan1
11977	鉗	qian2
11978	墘	qian2
11979	榩	qian2
11980	箝	qian2
11981	銭	qian2
11982	潜	qian2
11983	潜	qian3
11984	羬	qian2
11985	橬	qian2
11986	錢	qian2
11987	黔	qian2
11988	鎆	qian2
11989	黚	jian1
11990	騝	qian2
11991	濳	qian2
11992	騚	qian2
11993	灊	qian2
11994	籖	qian1
11995	鰬	qian2
11996	浅	qian3
11997	淺	qian3
11998	嵰	qian3
11999	遣	qian3
12000	槏	qian3
12001	膁	qian3
12002	蜸	qian3
12003	潛	qian2
12004	谴	qian3
12005	缱	qian3
12006	繾	qian3
12007	譴	qian3
12008	鑓	qian3
12009	欠	qian4
12010	刋	qian4
12011	芡	qian4
12012	俔	qian4
12013	倩	qian4
12014	悓	qian4
12015	堑	qian4
12016	傔	qian4
12017	嵌	qian4
12018	棈	qian4
12019	椠	qian4
12020	蒨	qian4
12021	塹	qian4
12022	歉	qian4
12023	綪	qian4
12024	蔳	qian4
12025	儙	qian3
12026	槧	qian4
12027	篏	qian4
12028	輤	qian4
12029	篟	qian4
12030	壍	qian4
12031	嬱	can2
12032	縴	qian4
12033	呛	qiang1
12034	羌	qiang1
12035	戕	qiang1
12036	戗	qiang1
12037	戗	qiang4
12038	斨	qiang1
12039	枪	qiang1
12040	玱	qiang1
12041	羗	you3
12042	猐	qiang1
12043	琷	qiang1
12044	跄	qiang4
12045	嗴	qiang1
12046	椌	qiang1
12047	獇	qiang1
12048	腔	qiang1
12049	嗆	qiang1
12050	嗆	qiang4
12051	溬	qiang1
12052	蜣	qiang1
12053	锖	qiang1
12054	嶈	qiang1
12055	戧	qiang1
12056	戧	qiang4
12057	槍	qiang1
12058	牄	qiang1
12059	瑲	qiang1
12060	羫	kong4
12061	锵	qiang1
12062	篬	qiang1
12063	錆	qiang1
12064	蹌	qiang4
12065	镪	qiang3
12066	镪	qiang1
12067	蹡	qiang4
12068	鎗	qiang1
12069	鏘	qiang1
12070	鏹	qiang3
12071	鏹	qiang1
12072	強	qiang2
12073	强	qiang2
12074	强	qiang3
12075	强	jiang4
12076	墙	qiang2
12077	嫱	qiang2
12078	蔷	qiang2
12079	樯	qiang2
12080	漒	qiang2
12081	蔃	jiang4
12082	墻	qiang2
12083	嬙	qiang2
12084	廧	qiang2
12085	薔	qiang2
12086	檣	qiang2
12087	牆	qiang2
12088	謒	qiang2
12089	艢	qiang2
12090	蘠	qiang2
12091	抢	qiang3
12092	抢	qiang1
12093	羟	qiang3
12094	搶	qiang3
12095	羥	qiang3
12096	墏	qiang3
12097	摤	qiang3
12098	繈	qiang3
12099	襁	qiang3
12100	繦	qiang3
12101	炝	qiang4
12102	唴	qiang4
12103	熗	qiang4
12104	羻	qiang4
12105	悄	qiao1
12106	硗	qiao1
12107	郻	qiao1
12108	鄗	hao4
12109	嵪	qiao1
12110	跷	qiao1
12111	鄡	qiao1
12112	鄥	wu1
12113	劁	qiao1
12114	敲	qiao1
12115	踍	qiao1
12116	锹	qiao1
12117	墝	qiao1
12118	碻	que4
12119	頝	qiao1
12120	骹	jiao1
12121	墽	qiao1
12122	幧	cao1
12123	橇	qiao1
12124	燆	qiao1
12125	缲	qiao1
12126	磽	qiao1
12127	鍫	qiao1
12128	鍬	qiao1
12129	繑	qiao1
12130	趬	qiao1
12131	蹺	qiao1
12132	蹻	qiao1
12133	鐰	qiao1
12134	乔	qiao2
12135	侨	qiao2
12136	荍	qiao2
12137	荞	qiao2
12138	桥	qiao2
12139	硚	qiao2
12140	菬	qiao2
12141	喬	qiao2
12142	僑	qiao2
12143	槗	qiao2
12144	谯	qiao2
12145	嘺	qiao2
12146	嫶	qiao2
12147	憔	qiao2
12148	蕎	qiao2
12149	鞒	qiao2
12150	樵	qiao2
12151	橋	qiao2
12152	犞	qiao2
12153	癄	qiao2
12154	瞧	qiao2
12155	礄	qiao1
12156	藮	qiao2
12157	譙	qiao2
12158	趫	qiao2
12159	鐈	qiao2
12160	鞽	qiao2
12161	顦	qiao2
12162	巧	qiao3
12163	釥	qiao3
12164	愀	qiao3
12165	髜	qiao3
12166	俏	qiao4
12167	诮	qiao4
12168	陗	qiao4
12169	峭	qiao4
12170	帩	qiao4
12171	窍	qiao4
12172	殼	ke2
12173	殼	qiao4
12174	翘	qiao4
12175	誚	qiao4
12176	僺	qiao4
12177	撬	qiao4
12178	撽	qiao4
12179	韒	qiao4
12180	竅	qiao4
12181	鞩	qiao4
12182	躈	qiao4
12183	切	qie4
12184	切	qie1
12185	苆	qie1
12186	癿	qie2
12187	聺	qie1
12188	且	qie3
12189	且	ju1
12190	厒	ke4
12191	妾	qie4
