ID	汉字	拼音
585	彼	bi3
586	柀	bi3
587	秕	bi3
588	俾	bi3
589	笔	bi3
590	粃	bi3
591	粊	bi4
592	舭	bi3
593	啚	bi3
594	筆	bi3
595	鄙	bi3
596	鄙	bi4
597	聛	bi4
598	貏	bi4
599	匂	bi4
600	币	bi4
601	必	bi4
602	毕	bi4
603	闭	bi4
604	佖	bi4
605	坒	bi4
606	庇	bi4
607	诐	bi4
608	邲	bi4
609	妼	bi4
610	怭	bi4
611	枈	bi4
612	畀	bi4
613	畁	bi4
614	苾	bi4
615	哔	bi4
616	毖	bi4
617	珌	bi4
618	疪	bi4
619	胇	fei2
620	荜	bi4
621	陛	bi4
622	毙	bi4
623	狴	bi4
624	畢	bi4
625	袐	bi4
626	铋	bi4
627	婢	bi4
628	庳	bi4
629	敝	bi4
630	梐	bi4
631	萆	bi4
632	萞	bi4
633	閇	bi4
634	閉	bi4
635	堛	bi4
636	弻	bi4
637	弼	bi4
638	愊	bi4
639	愎	bi4
640	湢	bi4
641	皕	bi4
642	禆	bi4
643	筚	bi4
644	詖	bi4
645	貱	bi4
646	赑	bi4
647	嗶	bi4
648	彃	bi4
649	楅	bi4
650	滗	bi4
651	滭	bi4
652	煏	bi4
653	痹	bi4
654	痺	bi4
655	腷	bi4
656	蓖	bi4
657	蓽	bi4
658	蜌	bi4
659	裨	bi4
660	跸	bi4
661	辟	pi4
662	鉍	bi4
663	閟	bi4
664	飶	bi4
665	幣	bi4
666	弊	bi4
667	熚	bi4
668	獙	bi4
669	碧	bi4
670	稫	fu4
671	箅	bi4
672	箆	bi4
673	綼	bi4
674	蔽	bi4
675	鄪	bi4
676	馝	bi4
677	幤	bi4
678	潷	bi4
679	獘	bi4
680	罼	bi4
681	襅	bi4
682	駜	bi4
683	髲	bi4
684	壁	bi4
685	嬖	bi4
686	廦	bi4
687	篦	bi4
688	篳	bi4
689	縪	bi4
690	薜	bi4
691	觱	bi4
692	避	bi4
693	鮅	bi4
694	斃	bi4
695	濞	bi4
